#ff65a389,#ff6984a3,#ff97a4a2,#ffd3a080
55779.29922230594,9458.056363132146,847.6245345849629,83.23548897534114
55564.01838470023,12052.388371949222,1415.685883359665,115.5665900148068
55370.78854134442,13552.913696745829,1900.4499275546382,163.0287138140145
55169.44284522526,14411.785569365382,2272.138442347313,213.58423629348306
54968.74972898989,14892.809085622024,2539.6422128010936,260.0138284991915
54765.067729368566,15151.999588371222,2723.761005770858,299.02741007926033
54557.73809087142,15279.87217271648,2845.7978923303017,329.86358936458646
54359.76503389553,15331.64182811693,2923.704291811121,353.1258637238152
54159.806307441795,15339.050407551702,2971.237257118054,370.0046120899471
53963.53073272632,15320.097834156964,2998.293166295646,381.8159807236245
53752.61244017821,15284.897297342104,3011.7529901302805,389.76886988122
53544.76045369163,15239.61785022118,3016.2131759307263,394.86906060873196
53341.5277530589,15189.33182767224,3014.8509211662963,397.90944737831035
53155.88411423667,15137.783761206001,3009.8647232690882,399.49577823567654
52961.738062378376,15084.772364900624,3002.6422408593166,400.0774669046579
52555.23072481601,14973.481544123077,2984.270693464442,399.3993588744283
52179.77318856483,14864.34563973049,2963.6301324709175,397.4219420608419
51788.872210346264,14755.857878975778,2942.4388128553155,394.9041670496065
51423.24315609258,14648.165219946866,2921.0653600598826,392.1727196749882
51044.54773752152,14542.646385568483,2899.9447101275614,389.37602931525396
50673.03238392171,14436.682977579989,2878.94298261403,386.5743699297137
50306.656495148854,14331.161803255169,2857.951965713793,383.77248156385474
49953.03747645152,14228.316401761138,2837.2137553672273,380.983314414866
49597.68846458628,14127.759991937597,2816.9225084504537,378.23347434974966
49222.18797075965,14024.473460823207,2796.6971499351575,375.5204280583408
48873.566829188734,13921.805805575992,2776.266458111582,372.80233983796137
48527.3655446292,13822.851503922084,2756.2746774601424,370.10239929875706
48200.40333681164,13726.270305810032,2736.6699440202224,367.4441431239317
47846.28837538655,13629.317569217086,2717.4049501875934,364.83595328633413
47491.526985062104,13530.711646664848,2698.0393971233802,362.2485351287155
47146.49617674779,13431.710750135682,2678.506873674086,359.65386938501985
46828.340394641025,13337.222960269683,2659.2637723155285,357.0633434544724
46510.13933743005,13245.511295274442,2640.6188843790933,354.5218918788724
46185.0975404431,13153.118418287939,2622.2431991107696,352.0340212242592
45880.19160500753,13063.453433153265,2604.0871660253206,349.57894098474776
45555.98954543827,12973.442957121242,2586.208361473126,347.16361979983174
45246.43138008951,12884.397674671367,2568.408425041799,344.77125888013484
44947.839295111866,12797.434396060682,2550.7955032153395,342.39640983496156
44636.691790472316,12710.360746554312,2533.7174978003727,340.08027822653264
44494.03657674566,61892.28924419254,7444.139184903857,667.5659679354532
44368.55699244866,36756.66198196553,7375.079031984449,826.693196369619
44226.352431751824,24376.44508569054,6103.365755249379,821.2624007889361
44065.327520555475,18292.56503582774,4862.562162685822,735.6184314593779
43913.6553761637,15299.938125147375,3946.093308962624,631.5446479549239
43753.32098824087,508221.5117804197,52755.00415488669,3841.6300233109687
43587.92814074956,257794.16848319632,52009.601127566275,5396.854022385322
43413.81279723582,133304.21292056522,39196.94799304104,5318.137936408961
43268.19685048847,71555.72925905233,26651.164491242507,4440.287923974791
43095.05337072866,41096.28958597603,17365.138075654046,3380.735391763833
42967.69679766285,26201.639655387356,11254.126332831442,2442.532320545619
42833.346454782426,18956.55616652828,7491.780873009863,1721.976066858362
42682.81332138008,15425.81557679255,5266.939169480113,1213.0016149317878
42554.1168112775,13696.230679721131,3987.093015749331,872.976429302535
42390.79089044795,12834.162197149506,3264.1381413056615,654.6454625724193
42217.80319906481,12391.220528282707,2860.1599463708894,518.480272521954
42080.23848842365,2497861.2772474135,251069.10282224565,17039.334005669803
41948.06189936626,1247209.7544771202,249559.28879926025,25198.853112183475
41802.99197134058,625013.5227983792,186623.28443685337,25072.312292163548
41690.347294255196,315498.7238551076,124378.02348927676,20848.907043004125
41563.520889316744,161583.20761019515,78027.60731260516,15639.394589674459
41432.30998469196,85155.08976910685,47329.31651300967,10982.931500070781
41301.93599643647,47387.64351953076,28281.858155294914,7381.671391819086
41167.26967291765,28917.29725671055,16959.301430997602,4824.3032022145935
40989.475897781675,19966.577659345814,10431.364859315989,3109.327316507415
40844.317738647645,15632.881829255071,6750.304260788942,2005.8172954825059
40703.09016006689,13520.980062743085,4707.723664797346,1317.5473024135154
40582.253230089904,12482.564087973335,3587.6497400632434,898.5526539152373
40468.50802228596,11963.759654570382,2978.5021060735885,648.343213241634
40322.34316758551,11691.70955953024,2648.231064449548,501.16497173499545
40188.79083019743,11540.775197428431,2468.8224299799995,415.5851528931501
40048.53640322157,11447.444867524611,2370.234584751421,366.2061675223336
39910.84915687262,11382.284804957617,2314.6758130050566,337.80342821404565
